Date,Open,High,Low,Close,% change,Volume,TurnOver
2024-09-15,841.00,858.00,810.60,813.10,-2.51,337603.00,283033509.90
2024-09-12,781.00,837.00,779.00,834.00,6.79,302090.00,244800827.90
2024-09-11,800.00,800.00,780.00,781.00,-0.88,157143.00,123574292.90
2024-09-10,803.00,819.00,781.10,787.90,-1.77,271773.00,217639447.90
2024-09-09,827.00,835.00,800.20,802.10,-3.01,344725.00,279412096.80
2024-09-08,850.00,860.00,826.20,827.00,-2.13,241859.00,203186029.20
2024-09-05,857.00,861.00,831.00,845.00,-1.40,344568.00,290466490.50
2024-09-04,901.10,901.10,850.90,857.00,-3.00,345129.00,298082744.90
2024-09-03,910.00,910.00,883.00,883.50,-1.23,283240.00,253746226.30
2024-09-02,870.00,895.00,851.20,894.50,3.89,377268.00,331311436.40
2024-09-01,878.00,890.00,854.00,861.00,-1.94,384543.00,334351072.40
2024-08-29,897.60,910.00,863.00,878.00,-0.23,404002.00,355613474.80
2024-08-28,881.00,916.40,865.40,880.00,-0.11,426881.00,381057621.80
2024-08-27,925.00,939.00,875.00,881.00,-4.45,729964.00,654209582.30
2024-08-25,970.00,970.00,915.00,922.00,-4.45,783712.00,734358000.80
2024-08-22,980.00,998.80,962.00,964.90,-1.54,457761.00,448095325.40
2024-08-21,958.00,1001.00,956.00,980.00,2.30,675216.00,660239573.50
2024-08-18,990.00,995.90,955.00,958.00,-2.74,843354.00,821481135.30
2024-08-15,1021.00,1035.00,985.00,985.00,-3.34,913916.00,913322239.60
2024-08-14,1020.00,1041.00,1001.10,1019.00,1.90,847281.00,865858307.70
2024-08-13,1000.00,1060.00,981.00,1000.00,-0.01,683396.00,682103058.40
2024-08-12,963.00,1010.00,963.00,1000.10,4.94,1237240.00,1228072403.80
2024-08-11,962.00,976.00,930.00,953.00,-0.63,1596564.00,1520247370.60
2024-08-08,952.50,1020.00,952.00,959.00,2.69,1100485.00,1076246548.10
2024-08-07,850.00,933.90,850.00,933.90,10.00,1694021.00,1535360473.50
2024-08-06,861.80,897.60,838.00,849.00,0.47,1616431.00,1397880383.40
2024-08-05,777.70,845.00,751.00,845.00,9.74,1549098.00,1260488762.20
2024-08-01,760.00,788.00,746.00,770.00,3.23,774069.00,597599238.10
